### sacct (since yesterday)  20260729_114720
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
54678325           smooth_r2_diag  COMPLETED      0:0   00:01:15 2026-07-28T16:55:13 2026-07-28T16:56:28 
54678319_1             RefAlt2hap  COMPLETED      0:0   01:26:32 2026-07-28T13:32:26 2026-07-28T14:58:58 
54678319_2             RefAlt2hap  COMPLETED      0:0   02:18:16 2026-07-28T13:32:26 2026-07-28T15:50:42 
54678319_3             RefAlt2hap  COMPLETED      0:0   02:16:49 2026-07-28T13:32:26 2026-07-28T15:49:15 
54678319_4             RefAlt2hap  COMPLETED      0:0   02:49:32 2026-07-28T13:32:26 2026-07-28T16:21:58 
54678319_5             RefAlt2hap  COMPLETED      0:0   03:16:44 2026-07-28T13:32:26 2026-07-28T16:49:10 
54678320_1            smooth_haps  COMPLETED      0:0   00:02:33 2026-07-28T16:49:11 2026-07-28T16:51:44 
54678320_2            smooth_haps  COMPLETED      0:0   00:02:35 2026-07-28T16:49:11 2026-07-28T16:51:46 
54678320_3            smooth_haps  COMPLETED      0:0   00:02:41 2026-07-28T16:49:11 2026-07-28T16:51:52 
54678320_4            smooth_haps  COMPLETED      0:0   00:02:59 2026-07-28T16:49:11 2026-07-28T16:52:10 
54678320_5            smooth_haps  COMPLETED      0:0   00:03:21 2026-07-28T16:49:11 2026-07-28T16:52:32 
54678322_1               hap_scan  COMPLETED      0:0   00:04:47 2026-07-28T16:54:42 2026-07-28T16:59:29 
54678322_2               hap_scan  COMPLETED      0:0   00:05:41 2026-07-28T16:54:42 2026-07-28T17:00:23 
54678322_3               hap_scan  COMPLETED      0:0   00:05:52 2026-07-28T16:54:42 2026-07-28T17:00:34 
54678322_4               hap_scan  COMPLETED      0:0   00:11:49 2026-07-28T16:54:42 2026-07-28T17:06:31 
54678322_5               hap_scan  COMPLETED      0:0   00:07:25 2026-07-28T16:54:42 2026-07-28T17:02:07 
54678324_1            smooth_haps  COMPLETED      0:0   00:02:32 2026-07-28T16:49:11 2026-07-28T16:51:43 
54678324_2            smooth_haps  COMPLETED      0:0   00:05:29 2026-07-28T16:49:11 2026-07-28T16:54:40 
54678324_3            smooth_haps  COMPLETED      0:0   00:02:41 2026-07-28T16:49:11 2026-07-28T16:51:52 
54678324_4            smooth_haps  COMPLETED      0:0   00:05:57 2026-07-28T16:49:11 2026-07-28T16:55:08 
54678324_5            smooth_haps  COMPLETED      0:0   00:03:26 2026-07-28T16:49:11 2026-07-28T16:52:37 
54678326_1               hap_scan  COMPLETED      0:0   00:05:04 2026-07-28T16:56:47 2026-07-28T17:01:51 
54678326_2               hap_scan  COMPLETED      0:0   00:05:33 2026-07-28T16:56:47 2026-07-28T17:02:20 
54678326_3               hap_scan  COMPLETED      0:0   00:05:43 2026-07-28T16:56:47 2026-07-28T17:02:30 
54678326_4               hap_scan  COMPLETED      0:0   00:06:22 2026-07-28T16:56:47 2026-07-28T17:03:09 
54678326_5               hap_scan  COMPLETED      0:0   00:07:09 2026-07-28T16:56:47 2026-07-28T17:03:56 
54678362                     wrap  COMPLETED      0:0   00:00:42 2026-07-28T17:03:57 2026-07-28T17:04:39 
54678364           smooth_r2_diag  COMPLETED      0:0   00:01:17 2026-07-28T16:56:47 2026-07-28T16:58:04 
54678366                     wrap  COMPLETED      0:0   00:00:43 2026-07-28T17:05:22 2026-07-28T17:06:05 
54678368           smooth_r2_diag  COMPLETED      0:0   00:01:16 2026-07-28T16:53:24 2026-07-28T16:54:40 
54678370                     wrap  COMPLETED      0:0   00:00:43 2026-07-28T17:02:07 2026-07-28T17:02:50 
54678371                plot4scan  COMPLETED      0:0   00:00:08 2026-07-28T17:07:15 2026-07-28T17:07:23 
54678372                     wrap  COMPLETED      0:0   00:00:01 2026-07-28T17:07:23 2026-07-28T17:07:24 
54678363_1            smooth_haps  COMPLETED      0:0   00:02:33 2026-07-28T16:49:11 2026-07-28T16:51:44 
54678363_2            smooth_haps  COMPLETED      0:0   00:02:38 2026-07-28T16:49:11 2026-07-28T16:51:49 
54678363_3            smooth_haps  COMPLETED      0:0   00:02:44 2026-07-28T16:49:11 2026-07-28T16:51:55 
54678363_4            smooth_haps  COMPLETED      0:0   00:03:02 2026-07-28T16:49:11 2026-07-28T16:52:13 
54678363_5            smooth_haps  COMPLETED      0:0   00:06:42 2026-07-28T16:49:11 2026-07-28T16:55:53 
54678365_1               hap_scan  COMPLETED      0:0   00:05:09 2026-07-28T16:58:05 2026-07-28T17:03:14 
54678365_2               hap_scan  COMPLETED      0:0   00:05:35 2026-07-28T16:58:05 2026-07-28T17:03:40 
54678365_3               hap_scan  COMPLETED      0:0   00:05:45 2026-07-28T16:58:05 2026-07-28T17:03:50 
54678365_4               hap_scan  COMPLETED      0:0   00:06:28 2026-07-28T16:58:05 2026-07-28T17:04:33 
54678365_5               hap_scan  COMPLETED      0:0   00:07:15 2026-07-28T16:58:05 2026-07-28T17:05:20 
54678367_1            smooth_haps  COMPLETED      0:0   00:02:33 2026-07-28T16:49:11 2026-07-28T16:51:44 
54678367_2            smooth_haps  COMPLETED      0:0   00:02:39 2026-07-28T16:49:11 2026-07-28T16:51:50 
54678367_3            smooth_haps  COMPLETED      0:0   00:02:44 2026-07-28T16:49:11 2026-07-28T16:51:55 
